Číslo	CODE	NAME	LAT	LON	RAW_DATA	ELE	TWI	SLP	HLI	No_trees	First_Y	Last_Y	AGE	SOIL	GROUP	RESPONSIBLE
19	M000004PCAB	heral4_2011	49,674517	15,97515	heral4_2011	698,030029	3,252858	4,941704	0,641562	11	1946	2010	64	acid	mendelu	NA
20	M000005PCAB	heral5_2011	49,67092	16,001266	heral5_2011	668,090027	3,486284	3,494731	0,656875	9	1930	2010	80	moist	mendelu	NA
21	M000009PCAB	heral9_2011	49,681405	16,019151	heral9_2011	706,969971	3,386383	4,049929	0,584344	12	1941	2010	70	moist	mendelu	NA
22	M000010PCAB	heral10_2011	49,6961	16,032217	heral10_2011	680,76001	2,851522	7,159707	0,630013	8	1935	2010	76	acid	mendelu	NA
23	M000042PCAB	jes1_2013	50,059084	17,120354	jes1_2013	795,73999	1,869187	17,022856	0,841143	31	1931	2011	80	moderate	mendelu	NA
24	M000043PCAB	jes2_2013	50,073778	17,126222	jes2_2013	852,929993	1,316333	27,80205	0,788816	28	1919	2011	92	moderate	mendelu	NA
25	M000046PCAB	libav1_2016	49,66913	17,525874	libav1_2016	541,390015	1,745914	9,888804	0,531159	16	1940	2014	74	moderate	mendelu	NA
26	M000047PCAB	libav2_2016	49,6207	17,518733	libav2_2016	647,380005	3,290332	3,662933	0,611599	18	1919	2012	93	moderate	mendelu	NA
27	M000048PCAB	libav3_2016	49,662093	17,525834	libav3_2016	599,349976	2,928043	8,320508	0,541439	14	1945	2014	69	moderate	mendelu	NA
28	M000049PCAB	libav4_2016	49,64445	17,495567	libav4_2016	627,130005	3,349331	4,293833	0,615081	17	1940	2014	74	moderate	mendelu	NA
29	M000050PCAB	libav5_2016	49,662217	17,528233	libav5_2016	585,429993	2,064936	10,553499	0,697898	15	1948	2014	66	moderate	mendelu	NA
30	M000051PCAB	libav6_2016	49,620076	17,52292	libav6_2016	626,330017	3,411796	3,213979	0,63567	13	1948	2014	66	moderate	mendelu	NA
31	M000053PCAB	koset_2018	49,566017	15,092043	koset_2018	526,049988	3,054437	2,780849	0,604737	60	1945	2017	72	acid	mendelu	NA
32	M000094PCAB	krkonose0_2014	50,661996	15,574772	krkonose0_2014	958,890015	2,167963	13,059438	0,585655	25	1899	2010	111	acid	mendelu	NA
35	M000128PCAB	krusne_hory3_2020	50,498394	13,123091	krusne_hory3_2018	785,890015	2,770178	3,085714	0,674267	12	1920	2017	97	acid	mendelu	NA
36	M000129PCAB	krusne_hory4_2021	50,469533	13,064929	krusne_hory4_2018	787,570007	2,634485	12,18451	0,645845	11	1965	2017	52	acid	mendelu	NA
37	P000001PCAB	KRK_134	50,681695	15,576288	134	744,340027	2,244335	18,333241	0,717342	25	1931	2020	89	acid	PrF	tumajerj@tur.cuni.cz
38	P000002PCAB	KRK_171	50,717315	15,608405	171	902,820007	1,940446	25,803673	0,631333	20	1906	2020	115	acid	PrF	tumajerj@tur.cuni.cz
39	P000003PCAB	KRK_180	50,72726	15,620845	180	870	1,874093	10,107492	0,717477	20	1918	2020	102	acid	PrF	tumajerj@tur.cuni.cz
41	P000005PCAB	KRK_307	50,680627	15,80352	307	779,320007	1,340565	26,188663	0,819654	24	1873	2020	147	acid	PrF	tumajerj@tur.cuni.cz
42	P000006PCAB	KRK_316	50,685588	15,765504	316	886,710022	1,863925	25,760929	0,325788	25	1919	2020	101	acid	PrF	tumajerj@tur.cuni.cz
43	P000007PCAB	KRK_319	50,689227	15,805942	319	729,719971	0,602159	28,988283	0,842149	25	1922	2020	98	acid	PrF	tumajerj@tur.cuni.cz
44	P000008PCAB	KRK_337	50,699514	15,749465	337	981,140015	1,809578	18,779417	0,823311	23	1955	2020	65	acid	PrF	tumajerj@tur.cuni.cz
45	P000009PCAB	KRK_350	50,70773	15,757051	350	1192,709961	1,956213	11,95916	0,778332	23	1916	2020	104	acid	PrF	tumajerj@tur.cuni.cz
46	P000121PCAB	21JS	49,216214	13,284859	21JS	817,429993	1,597662	15,808293	0,606269	26	1908	2018	110	acid	PrF	jiri.masek@natur.cuni.cz
47	P000122PCAB	22JS	49,206101	13,227974	22JS	945,309998	2,418613	8,046288	0,546255	26	1898	2020	122	moderate	PrF	jiri.masek@natur.cuni.cz
48	P000123PCAB	23PL	49,196234	13,281661	23PL	989,01001	2,700696	7,39773	0,589738	25	1928	2020	92	acid	PrF	jiri.masek@natur.cuni.cz
49	P000124PCAB	24UD	49,183505	13,240087	24UD	937,619995	1,958628	6,665745	0,69619	25	1841	2020	179	moist	PrF	jiri.masek@natur.cuni.cz
50	P000125PCAB	25PL	49,212205	13,231485	25PL	957,140015	2,033081	14,681474	0,802089	26	1919	2020	101	acid	PrF	jiri.masek@natur.cuni.cz
51	P000126PCAB	26SS	49,196285	13,276498	26SS	995,01001	1,46886	18,719362	0,751745	26	1861	2020	159	acid	PrF	jiri.masek@natur.cuni.cz
52	P000127PCAB	27PL	49,182086	13,293168	27PL	994,820007	3,30063	4,521174	0,683557	26	1904	2021	117	acid	PrF	jiri.masek@natur.cuni.cz
53	P000128PCAB	28SS	49,191765	13,285847	28SS	1009,590027	2,594991	7,685549	0,556452	26	1921	2021	100	acid	PrF	jiri.masek@natur.cuni.cz
54	P000129PCAB	29JS	49,203002	13,286487	29JS	1013,179993	3,808044	3,285111	0,636406	26	1904	2021	117	acid	PrF	jiri.masek@natur.cuni.cz
55	P000130PCAB	30PL	49,193925	13,265415	30PL	1047,069946	2,353161	10,387723	0,637646	25	1909	2021	112	acid	PrF	jiri.masek@natur.cuni.cz
56	P000131PCAB	31SS	49,221613	13,250915	31SS	1042,890015	2,327917	9,576518	0,512309	23	1923	2021	98	acid	PrF	jiri.masek@natur.cuni.cz
57	P000132PCAB	32JS	49,186876	13,287166	32JS	1037,25	3,556691	3,465455	0,679924	24	1914	2021	107	acid	PrF	jiri.masek@natur.cuni.cz
58	P000133PCAB	33SS	49,200416	13,272365	33SS	1059,170044	3,113032	6,584167	0,689261	25	1898	2021	122	acid	PrF	jiri.masek@natur.cuni.cz
59	P000134PCAB	34SS	49,18736	13,271179	34SS	1047,439941	3,101103	8,098828	0,727987	26	1928	2021	93	acid	PrF	jiri.masek@natur.cuni.cz
60	P000135PCAB	35UD	49,178167	13,257786	35UD	1109,630005	2,153736	12,703366	0,785991	25	1871	2020	149	extreme	PrF	jiri.masek@natur.cuni.cz
61	P000136PCAB	36UD	49,215391	13,243904	36UD	1147	2,280881	11,630622	0,543384	26	1919	2021	102	acid	PrF	jiri.masek@natur.cuni.cz
62	P000137PCAB	37PL	49,211255	13,260087	37PL	1156,27002	2,69015	7,731628	0,583199	26	1935	2021	86	acid	PrF	jiri.masek@natur.cuni.cz
63	P000138PCAB	38JS	49,19811	13,244094	38JS	1124,369995	2,339174	16,145769	0,703756	25	1889	2021	132	acid	PrF	jiri.masek@natur.cuni.cz
64	P000139PCAB	39UD	49,1846	13,257535	39UD	1150,949951	4,052135	2,408858	0,641531	25	1921	2021	100	acid	PrF	jiri.masek@natur.cuni.cz
65	P000140PCAB	40UD	49,201524	13,249712	40UD	1206,920044	1,595007	30,70685	0,788228	26	1955	2021	66	acid	PrF	jiri.masek@natur.cuni.cz
66	P000142PCAB	OST	49,2038	13,112701	OST	1226,550049	0,699901	37,311028	0,481553	40	1841	2018	177	extreme	CZU	cada@fld.czu.cz
67	P000143PCAB	RAA	50,043017	13,297917	RAA	430,079987	1,289933	29,38526	0,859748	41	1874	2018	144	extreme	CZU	cada@fld.czu.cz
68	P000146PCAB	REJ	49,136701	13,502261	REJ	665,909973	0,301023	45,843769	0,957437	40	1833	2018	185	extreme	CZU	cada@fld.czu.cz
69	P000148PCAB	STR	50,889617	14,2598	STR	470,5	1,861762	19,822079	0,857946	35	1905	2018	113	extreme	CZU	cada@fld.czu.cz
70	P000150PCAB	JET	50,850325	14,358207	JET	220,960007	0,910009	41,571728	0,849463	38	1849	2018	169	extreme	CZU	cada@fld.czu.cz
72	P000154PCAB	POL	49,79232	15,7547	POL	587,900024	3,203141	6,772975	0,665444	40	1898	2018	120	moderate	PrF	treml@natur.cuni.cz
74	P000201PCAB	lvi_dul_900	50,71771	15,772491	lvi900PCAB	1021,820007	0,352083	36,047318	0,274678	20	1938	2012	74	extreme	PrF	treml@natur.cuni.cz
77	P000206PCAB	divdul_900	50,07808	17,19433	divdul900PCAB	900,460022	1,176586	32,254555	0,9776	20	1922	2011	89	extreme	PrF	treml@natur.cuni.cz
78	P000208PCAB	kral_1300	50,204296	16,845992	kral1300PCAB	1283,869995	1,92516	23,583038	0,858476	21	1919	2011	92	extreme	PrF	treml@natur.cuni.cz
79	P000209PCAB	kral_1200	50,203005	16,845359	kral1200PCAB	1219,430054	1,928133	25,259216	0,886451	20	1831	2011	181	acid	PrF	treml@natur.cuni.cz
82	P000215PCAB	bilop_1100	50,07797	17,261559	bilop1100PCAB	1151,630005	2,037156	14,470898	0,46	21	1825	2011	186	acid	PrF	treml@natur.cuni.cz
83	P000217PCAB	zp_1200	50,718199	15,669264	zp1200PCAB	1257	1,65479	29,788155	0,287266	20	1854	2011	157	extreme	PrF	treml@natur.cuni.cz
84	P000218PCAB	lvi_dul_1100	50,716188	15,767667	lvi1100PCAB	1122,52002	1,045318	25,331091	0,374357	14	1840	2011	171	acid	PrF	treml@natur.cuni.cz
86	P000223PCAB	bls1_ahl	50,735225	15,66129	bls1_ahl	1304,199951	1,103884	33,654278	0,28976	15	1913	2012	99	extreme	PrF	treml@natur.cuni.cz
105	P000244PCAB	vhj_ahl	50,055522	17,221689	vhj_ahl	1308,51001	1,606565	21,474796	0,887156	44	1915	2012	97	extreme	PrF	treml@natur.cuni.cz
110	P800025PCAB	VB-315E	48,63484	14,14327	P800025PCAB_trw_data	854,219971	2,364471	17,307205	0,693112	26	1911	2016	105	acid	vukoz	jakub.kaspar@vukoz.cz
111	P800034PCAB	TetrevskaSlat	49,029354	13,53647	P800034PCAB_trw_data	1131,170044	2,986529	5,974559	0,706703	38	1673	2020	347	moist	vukoz	ivana.vasickova@vukoz.cz
112	P800036PCAB	VyderskySvah	49,035805	13,502908	P800036PCAB_trw_data	964,52002	2,235711	12,192382	0,592439	35	1810	2020	210	acid	vukoz	ivana.vasickova@vukoz.cz
113	P810150PCAB	Boubin	48,974272	13,807016	P810150PCAB_trw_data	1160,410034	2,373505	15,762239	0,708808	31	1854	2015	161	moderate	vukoz	jakub.kaspar@vukoz.cz
114	P810152PCAB	Boubin	48,976646	13,822197	P810152PCAB_trw_data	977,099976	2,215916	12,591412	0,790546	219	1876	2017	141	moist	vukoz	jakub.kaspar@vukoz.cz
115	P810153PCAB	Boubin	48,96972	13,817426	P810153PCAB_trw_data	1008,030029	2,231297	6,786535	0,663409	87	1896	2017	122	rich	vukoz	jakub.kaspar@vukoz.cz
116	P810154PCAB	Boubin	48,97268	13,802524	P810154PCAB_trw_data	1230,030029	2,47405	9,571624	0,751742	32	1882	2015	133	acid	vukoz	jakub.kaspar@vukoz.cz
117	P810155PCAB	Boubin	48,99283	13,81825	P810155PCAB_trw_data	1335,410034	1,279925	28,659115	0,37727	56	1864	2016	152	acid	vukoz	jakub.kaspar@vukoz.cz
118	P810157PCAB	Boubin	48,993962	13,811226	P810157PCAB_trw_data	1308,98999	1,972839	14,580264	0,544218	32	1868	2014	146	acid	vukoz	jakub.kaspar@vukoz.cz
119	P810159PCAB	Boubin	48,991072	13,80248	P810159PCAB_trw_data	1271,22998	1,546863	22,581146	0,491032	14	1860	2018	158	extreme	vukoz	jakub.kaspar@vukoz.cz
120	P810160PCAB	Boubin	48,995957	13,810878	P810160PCAB_trw_data	1265,199951	1,692549	20,203777	0,435185	22	1868	2016	149	acid	vukoz	jakub.kaspar@vukoz.cz
121	P810163PCAB	Boubin	48,974034	13,799355	P810163PCAB_trw_data	1265,140015	3,236398	6,541981	0,715178	14	1870	2012	142	acid	vukoz	jakub.kaspar@vukoz.cz
122	P810164PCAB	Boubin	48,98139	13,798326	P810164PCAB_trw_data	1272,969971	2,796977	7,697667	0,678767	18	1893	2015	123	acid	vukoz	jakub.kaspar@vukoz.cz
123	P810166PCAB	Boubin	48,980619	13,803892	P810166PCAB_trw_data	1166,420044	1,371488	28,28063	0,522312	22	1894	2018	124	extreme	vukoz	jakub.kaspar@vukoz.cz
124	P810171PCAB	Boubin	48,97853	13,816766	P810171PCAB_trw_data	995,76001	2,259142	17,703178	0,835955	64	1888	2019	130	moderate	vukoz	jakub.kaspar@vukoz.cz
125	P811201PCAB	Jelenka	50,740276	15,760759	P811201PCAB_trw_data	1271,420044	1,391983	17,628725	0,846516	225	1916	2017	101	extreme	vukoz	ivana.vasickova@vukoz.cz
126	P811202PCAB	Jelenka	50,740419	15,761378	P811202PCAB_trw_data	1268,050049	2,30469	16,743757	0,808993	535	1904	2017	112	extreme	vukoz	ivana.vasickova@vukoz.cz
127	V002287PCAB	CIN	50,731007	13,78824	CINOV	825,200012	3,330606	3,690256	0,586445	42	1971	2013	42	acid	vulhm	vejpustkova@vulhm.cz
128	V002288PCAB	FLJ	50,685805	13,6003	FLAJE	747,02002	2,432789	10,05184	0,75603	42	1973	2013	40	moderate	vulhm	vejpustkova@vulhm.cz
129	V002289PCAB	KAL	50,569527	13,360732	KALEK	808,590027	3,150754	4,413126	0,69172	42	1976	2013	37	moist	vulhm	vejpustkova@vulhm.cz
130	V002290PCAB	KLN	50,643574	13,53574	KLINY	792,030029	-4,60517	2,222937	0,664761	44	1976	2013	37	moist	vulhm	vejpustkova@vulhm.cz
131	V002291PCAB	KRH	50,502617	13,162194	K_HAMRY	883,530029	3,358525	6,083471	0,651543	40	1961	2013	52	acid	vulhm	vejpustkova@vulhm.cz
132	V002292PCAB	LOC	50,403966	12,977549	LOUCNA	996,450012	2,216588	10,688865	0,491971	42	1985	2013	28	moist	vulhm	vejpustkova@vulhm.cz
133	V002293PCAB	C	50,575461	13,262221	NACETIN	795,280029	-4,60517	0,799011	0,63837	42	1976	2013	37	acid	vulhm	vejpustkova@vulhm.cz
134	V002294PCAB	PRB	50,362116	12,63259	PREBUZ	886,719971	3,38179	4,089753	0,66895	48	1981	2013	32	acid	vulhm	vejpustkova@vulhm.cz
135	V002295PCAB	SKV	50,508267	13,200968	SKVRCH	870,179993	3,19173	4,215267	0,682667	40	1986	2013	27	acid	vulhm	vejpustkova@vulhm.cz
136	V002296PCAB	VYS	50,483447	13,213574	VYSLUNI	804,070007	3,545835	4,995477	0,691842	42	1987	2013	26	acid	vulhm	vejpustkova@vulhm.cz
137	V002298PCAB	CHSM	50,85839	14,543691	CHRSM	538,809998	3,07398	4,306204	0,619806	19	1930	2015	85	moderate	vulhm	vejpustkova@vulhm.cz
138	V002302PCAB	KLSM	49,443833	18,390733	KLSM	871	2,267108	11,713924	0,548985	17	1930	2014	84	moderate	vulhm	vejpustkova@vulhm.cz
139	V002306PCAB	LBSM	49,756338	15,688618	LBSM	481,959991	3,60108	2,163403	0,609387	19	1963	2013	50	moderate	vulhm	vejpustkova@vulhm.cz
140	V002310PCAB	RESM	50,238667	17,270467	RESM	792,690002	2,213174	11,440569	0,52598	19	1933	2014	81	acid	vulhm	vejpustkova@vulhm.cz
141	V002314PCAB	SISM	49,0655	18,085967	SISM	551,539978	3,176015	7,607132	0,725581	16	1949	2014	65	moderate	vulhm	vejpustkova@vulhm.cz
142	V002318PCAB	VOSM	48,889667	13,93545	VOSM	1011,280029	2,748731	11,032189	0,719557	18	1917	2014	97	acid	vulhm	vejpustkova@vulhm.cz
143	V002322PCAB	VSSM	49,223283	14,307917	VSSM	544,130005	3,440767	5,838164	0,649891	17	1961	2015	54	moist	vulhm	vejpustkova@vulhm.cz
144	V002344PCAB	POS1	50,0744	16,3539	POS	420,559998	2,71299	8,185152	0,680113	20	1953	2015	62	moderate	vulhm	vejpustkova@vulhm.cz
145	V002346PCAB	PZS1	49,389036	16,729982	PZS1	443,200012	1,194444	30,066158	0,814304	24	1949	2015	66	rich	vulhm	vejpustkova@vulhm.cz
146	V002348PCAB	PZS3	49,37136	16,72924	PZS3	486,880005	3,629719	1,650462	0,629182	20	1950	2015	65	moderate	vulhm	vejpustkova@vulhm.cz
147	V002355PCAB	TPCH	49,886675	14,582172	TEPCH	355,329987	1,154453	22,707247	0,421025	20	1857	2015	158	moderate	vulhm	vejpustkova@vulhm.cz
148	V002356PCAB	TPS1	49,887948	14,582244	TEPS1	375,170013	1,202413	24,653957	0,747297	21	1956	2015	59	moderate	vulhm	vejpustkova@vulhm.cz
149	V002357PCAB	TPS2	49,886087	14,589598	TEPS2	402	3,124299	4,246408	0,68691	22	1941	2015	74	acid	vulhm	vejpustkova@vulhm.cz
150	V002359PCAB	KOS1	49,76069	14,624057	KOS1	322,579987	1,511321	1,530893	0,618616	20	1917	2016	99	rich	vulhm	vejpustkova@vulhm.cz
151	V002360PCAB	KOS2	49,76222	14,62194	KOS2	354,290009	3,589177	2,950917	0,64437	24	1961	2016	55	moist	vulhm	vejpustkova@vulhm.cz
152	V002362PCAB	KRS1	49,970373	13,836426	KRS1	344,149994	1,661116	24,337397	0,395412	20	1935	2016	81	moderate	vulhm	vejpustkova@vulhm.cz
153	V002363PCAB	KRS2	49,982044	13,858563	KRS2	415,640015	3,396274	3,891655	0,681968	22	1946	2016	70	moist	vulhm	vejpustkova@vulhm.cz
154	V002365PCAB	RAS1	50,043081	13,295051	RAS1	431,25	0,912961	38,73782	0,258974	24	1911	2016	105	rich	vulhm	vejpustkova@vulhm.cz
155	V002366PCAB	RAS2	50,04111	13,30306	RAS2	517,77002	3,192493	5,16038	0,595489	20	1913	2016	104	acid	vulhm	vejpustkova@vulhm.cz
156	V002368PCAB	SVS1	49,901825	15,178046	SVS1	415,109985	4,205342	0,879426	0,648052	20	1926	2016	90	moist	vulhm	vejpustkova@vulhm.cz
157	V002369PCAB	SVS2	49,91028	15,18389	SVS2	422	2,808742	6,914443	0,590152	20	1926	2016	90	moderate	vulhm	vejpustkova@vulhm.cz
158	V002370PCAB	sm_o1	49,82021	17,372598	SM_O1	633,530029	3,353519	4,03367	0,68606	40	1944	2016	72	moderate	vulhm	vejpustkova@vulhm.cz
159	V002371PCAB	sm_o2	49,807977	17,363605	SM_O2	628,400024	3,744693	2,852019	0,671792	42	1936	2016	80	moist	vulhm	vejpustkova@vulhm.cz
160	V002372PCAB	sm_o3	49,803046	17,351274	SM_O3	638,210022	4,291559	1,479775	0,654957	42	1955	2016	61	moist	vulhm	vejpustkova@vulhm.cz
161	V002375PCAB	sm_s3	49,802315	17,345033	SM_S3	636,27002	3,03055	4,435899	0,691556	42	1940	2016	76	moderate	vulhm	vejpustkova@vulhm.cz
162	V002377PCAB	cer	49,754317	17,698512	Cermna	416,950012	1,44681	22,612034	0,441893	56	1936	2017	81	moderate	vulhm	vejpustkova@vulhm.cz
163	V002378PCAB	koh	50,097316	17,42221	KoziHradek	560,450012	1,659661	11,60873	0,556875	49	1952	2017	65	rich	vulhm	vejpustkova@vulhm.cz
164	V002379PCAB	kol	50,09061	17,424932	Koleno	623,48999	3,142574	4,821027	0,594372	72	1953	2017	64	moderate	vulhm	vejpustkova@vulhm.cz
165	V002380PCAB	kop	50,085857	17,384615	KopMokr	790,01001	3,395754	5,544828	0,64522	54	1944	2017	73	moist	vulhm	vejpustkova@vulhm.cz
166	V002381PCAB	lan	49,490439	18,255558	Lanovka	812,679993	1,307048	28,342537	0,443007	52	1941	2017	75	moderate	vulhm	vejpustkova@vulhm.cz
167	V002382PCAB	let	49,50695	18,282786	Letadlo	821,969971	1,149549	32,822624	0,822318	61	1936	2017	80	moderate	vulhm	vejpustkova@vulhm.cz
168	V002383PCAB	lht	49,816167	17,741564	Lhotka	381,809998	2,466782	9,860664	0,734836	56	1967	2017	50	moderate	vulhm	vejpustkova@vulhm.cz
169	V002385PCAB	pus	50,084299	17,393127	PustaRudna	772,049988	2,644735	6,19475	0,713084	71	1942	2017	75	moist	vulhm	vejpustkova@vulhm.cz
170	V002386PCAB	sns	50,074682	17,442504	SirNivaS	501,570007	1,867362	17,199383	0,519118	48	1955	2017	62	moderate	vulhm	vejpustkova@vulhm.cz
171	V002387PCAB	snv	50,087671	17,435961	SirNivaV	499,450012	2,55238	7,866516	0,732646	58	1944	2017	74	moderate	vulhm	vejpustkova@vulhm.cz
